time,cmd_lin_x,cmd_ang_z
1746638602.5645263,0.15,0.0
1746638602.903252,0.15,0.0
1746638603.2755635,0.15,0.0
1746638603.6849964,0.15,0.0
1746638603.975638,0.15,0.0
1746638604.2764704,0.15,0.0
1746638604.5910127,0.15,0.0
1746638604.8821855,0.15,0.0
1746638605.1982532,0.15,0.0
1746638605.4947858,0.15,0.0
1746638605.968736,0.15,0.0
1746638606.3678849,0.15,0.0
1746638606.6625571,0.15,0.0
1746638607.0713778,0.15,0.0
1746638607.3994648,0.15,0.0
1746638607.7975898,0.15,0.0
1746638608.0926325,0.15,0.0
1746638608.5626245,0.15,0.0
1746638608.7974832,0.15,0.0
1746638609.1814265,0.15,0.0
1746638609.476051,0.15,0.0
1746638609.8928342,0.15,0.0
1746638610.2679605,0.15,0.0
1746638610.4953597,0.15,0.0
1746638610.9677432,0.15,0.0
1746638611.2777023,0.15,0.0
1746638611.5827053,0.15,0.0
1746638611.896716,0.15,0.0
1746638612.184985,0.15,0.0
1746638612.477776,0.15,0.0
1746638612.794271,0.15,0.0
1746638613.3732526,0.15,0.0
1746638613.6874142,0.15,0.0
1746638614.098165,0.15,0.0
1746638614.4938648,0.15,0.0
1746638614.7795196,0.15,0.0
1746638615.078414,0.15,0.0
1746638615.4635847,0.15,0.0
1746638615.6887395,0.15,0.0
1746638616.0666637,0.15,0.0
1746638616.463243,0.15,0.0
1746638616.7656364,0.15,0.0
1746638617.0895727,0.15,0.0
1746638617.3805618,0.15,0.0
1746638617.6746569,0.15,0.0
1746638617.9769533,0.15,0.0
1746638618.2952814,0.15,0.0
1746638618.6722417,0.15,0.0
1746638618.8875086,0.15,0.0
1746638619.2721589,0.15,0.0
1746638619.68033,0.15,0.0
1746638620.1629422,0.15,0.0
1746638620.3887646,0.15,0.0
1746638620.793892,0.15,0.0
1746638621.0865865,0.15,0.0
1746638621.378124,0.15,0.0
1746638621.7845325,0.15,0.0
1746638622.0774262,0.15,0.0
1746638622.4645765,0.15,0.0
1746638622.90056,0.15,0.0
1746638623.280737,0.15,0.0
1746638623.595072,0.15,0.0
1746638623.8905075,0.15,0.0
1746638624.1818702,0.15,0.0
1746638624.5841537,0.15,0.0
1746638624.8854024,0.15,0.0
1746638625.1933148,0.1,-0.5
1746638625.4729822,0.1,-0.5
1746638625.7177107,0.1,-0.5
1746638626.0081706,0.1,-0.5
1746638626.4810147,0.1,-0.5
1746638626.8703291,0.1,-0.5
1746638627.2188723,0.1,-0.5
1746638627.5802107,0.15,0.0
1746638627.9129133,0.15,0.0
1746638628.4970672,0.15,0.0
1746638628.8756516,0.15,0.0
1746638629.386171,0.15,0.0
1746638629.8774343,0.15,0.0
1746638630.266474,0.15,0.0
1746638630.694001,0.15,0.0
1746638631.0919557,0.15,0.0
1746638631.4982188,0.15,0.0
1746638631.8707285,0.15,0.0
1746638632.3079152,0.15,0.0
1746638632.6893716,0.15,0.0
1746638632.9830208,0.15,0.0
1746638633.29058,0.15,0.0
1746638633.6752262,0.15,0.0
1746638633.9656873,-0.05,0.04365804391773476
1746638634.2775097,0.0,0.3
1746638634.5811112,0.0,0.3
1746638634.9632988,0.0,0.3
1746638635.2638488,0.15,0.0
1746638635.5694711,0.0,0.3
1746638635.884944,0.0,0.3
1746638636.1664467,-0.05,-0.03821921406015605
1746638636.503391,0.15,0.0
1746638636.8745627,0.15,0.0
1746638637.28068,0.0,0.3
1746638637.6903806,0.0,0.3
1746638637.9888556,0.0,0.3
1746638638.278189,0.15,0.0
1746638638.587505,0.15,0.0
1746638638.9025578,-0.05,1.341282262367622
1746638639.2770429,0.0,0.3
1746638639.5948493,0.0,0.3
1746638639.9011364,0.0,0.3
1746638640.3059254,0.0,0.3
1746638640.8626716,0.0,0.3
1746638641.1966896,-0.05,-0.0007423331243621156
1746638641.6681733,0.0,0.3
1746638641.9885252,0.0,0.3
1746638642.276822,0.0,0.3
1746638642.7022204,0.0,0.3
1746638643.0867844,0.0,0.3
1746638643.4994652,0.1,0.5
1746638643.8851125,0.1,0.5
1746638644.2781017,0.1,0.5
1746638644.5828102,0.1,0.5
1746638644.8738995,0.1,0.5
1746638645.162827,0.1,0.5
